Peak_Label,Weighted_Mean_Theta,Error_Weighted_Mean_Theta
Peak bei 23.68°,11.85102608392404,0.00043991205885559356
Peak bei 27.31°,13.6923371177805,0.0002443505347322918
Peak bei 38.95°,19.473599638005144,0.0005757561431236364
Peak bei 43.81°,21.906896664578312,0.0062279856426156925
Peak bei 45.95°,22.9724410082735,0.0004780188028611032
Peak bei 48.08°,24.045332278883066,0.0005191196614404796
Peak bei 56.03°,28.025158612020448,0.00039228330708753145
Peak bei 61.47°,30.75667310729166,0.0018359221276709116
Peak bei 61.67°,30.842481120397817,32709.190017738358
Peak bei 63.25°,31.63963274529098,0.0017704055250537603
Peak bei 70.06°,35.044253099484564,0.002063748167345834
Peak bei 74.92°,37.503691801146545,0.002308824209594328
Peak bei 75.19°,37.51923093346959,0.0007151281954666424
Peak bei 82.89°,41.4751748606156,0.002759790400742162
Peak bei 83.15°,41.4938539923755,0.0007259075691443725
Peak bei 87.58°,43.825141291848375,0.003960147408264081
Peak bei 87.88°,43.797916400586864,0.002167539383976778
Peak bei 89.13°,44.60258191989137,0.002730799144621743
Peak bei 89.44°,44.5791015978556,0.0007170985625036626
Peak bei 95.38°,47.74578773751731,0.0007696470351646923
Peak bei 95.71°,47.729273952007695,0.012242497482810274
Peak bei 101.71°,50.89727950855714,0.001064011341665945
Peak bei 102.01°,50.89746841456408,0.0010619549674425557
Peak bei 108.12°,54.12854752566275,0.0026504969062861004
Peak bei 108.55°,54.12928285730687,0.0026238766415536408
Peak bei 113.12°,56.557422308764615,0.0028636995981277343
Peak bei 113.55°,56.772442390331236,0.0055049009719718755
Peak bei 114.81°,57.48351652534664,0.001405110022682084
Peak bei 115.26°,57.641847393324426,0.010684525393652725
Peak bei 121.86°,61.02988489087193,0.001501891194415502
Peak bei 122.40°,61.194603211859715,0.04176042278193665
